shot_3,shot_4,shot_5,shot_6,uid
"Footwear, Joint, Shoe, Shoulder, Shorts, Leg, Standing, Strength training, Knee, Weight training, Thigh, Sneakers, Exercise equipment, Exercise, Sportswear, Elbow, Chest, Trunk","Food, Tableware, Table, Dishware, Ingredient, Recipe, Plate, Sandwich, Staple food, Food craving, Paper towel, Kitchen appliance, Cuisine, Dish","Footwear, Joint, Shoe, Shorts, Shoulder, Leg, Weights, Weight training, Exercise equipment, Sports equipment, Exercise machine, Punching bag, Gym, Sneakers, Chest","Plant, Glasses, Water, Sky, Vision care, Goggles, Table, Tire, Hat, Eyewear, Sunglasses, Beard, Tree, Cap, Outdoor furniture, Outdoor recreation, Grass, Leisure",paulrocksmuch
"Yoga mat, yoga pant, Plant, Leg, Active pants, Human body, Window, Tree, Sunlight, Building, Thigh, Exercise, Sportswear, Cabinetry, Entertainment, Flooring, Knee, Chest, House, Human leg","Plant, Building, Flower, Food, Light, Table, Dishware, Ingredient, Mixing bowl, Window, Tableware, Recipe, Cup, Flowerpot, Drinkware, Petal, House, Houseplant",,"Nose, Brown, Smile, Lip, Chin, Hairstyle, Photograph, Eyebrow, Facial expression, Mouth, Flower, Eyelash, Jaw, Flash photography, Iris, Happy, Tints and shades, Wood, Peach, Rectangle, Magenta, Macro photography, Font, Art, Cloud",missjordan
"Building, Shorts, Property, Plant, Active shorts, Sky, Window, Leg, Shade, Architecture, Knee, Tree, Asphalt, Road surface, Sportswear, Street fashion, Thigh, Sneakers, Calf, Exercise, Competition event, Real estate, Leisure, Facade, House","Food, Cabinetry, Property, Countertop, Ingredient, Picture frame, Kitchen, Kitchen appliance, Window, Recipe, Cuisine, Wood, Kitchen stove, Gesture, Dish, Home appliance, Finger, Microwave oven, Nail, Flooring, Table, Baked goods, Thumb, Thigh, Indoor games and sports, Wrist, Human leg","Joint, Shoulder, Shorts, yoga pant, Active pants, Sports uniform, Knee, Flooring, Thigh, Exercise equipment, Exercise, Floor, Calf, Combat sport, Chest, Leisure, Contact sport, Striking combat sports, Fun","Footwear, Joint, Shorts, Shoulder, Arm, Leg, Muscle, Human body, Flash photography, Waist, Knee, Musician, Grey, Music, Wood, Gadget, Entertainment, Font, Twig, Electric blue, Event, Electronic instrument, Flooring, Hardwood, Pattern, Midnight, Darkness, Musical instrument accessory",jackson
,"Food, Fruit, Plant, Tableware, Ingredient, Natural foods, Staple food, Apple, Mcintosh, Wood, Cuisine, Tree, Dish, Superfood, Produce","Clothing, Table tennis racket, Table, Arm, Ping pong, Window, Racquet sport, Recreation room, Sports equipment, Fixture, Racket, Racketlon, Leisure, Indoor games and sports","Joint, Smile, Shoe, Window blind, Leg, Window, Comfort, Human, Interaction, Thigh, Leisure, Lap, Fun, Television, Event, T-shirt",elliemw17
"Sky, Playing sports, Shorts, Sports equipment, Natural environment, Cloud, Tree, Plant, Land lot, Player, Grass, Golf, Ball game, Grassland, Ball","Boysenberry, Food, Fruit, Seedless fruit, Recipe, Ingredient, Natural foods, Wood, Olallieberry, Berry, Floor, Flooring, Household supply, Gas, Cuisine, Packaging and labeling, Tints and shades, Hardwood, Drink, Electronic device, Font, Ceiling, Room, Audio equipment, Sweetness, Electric blue, Brand","Hair, Smile, Cloud, Head, Sky, Outerwear, Eye, Facial expression, Plant, White, Tree, People in nature, Happy, Gesture, Grass, Player","Table, Smile, Furniture, Property, Comfort, Television, Vision care, Living room, Sunglasses, Interior design, Lighting, Desk, Happy, Iris, Goggles, Font, Art, Eyewear, Event, Fun, Electric blue, Graffiti, Graphics, Logo, Games, Carmine, Visual arts, Fictional character",chantellej_12
"Glasses, Shoe, Shoulder, Shorts, Sky, Leg, Sunglasses, Wood, Tree, Standing, Thigh, Leisure, Knee, Waist, House, Sportswear","Food, Property, Tableware, Gas stove, Kitchen, Countertop, Kitchen appliance, Cookware and bakeware, Recipe, Kitchen utensil, Kitchen stove, Interior design, Table, Cuisine, Dish, Cooking, Cooktop","Shoe, Plant, Shoulder, yoga pant, Leg, Muscle, Shorts, Black, Human body, Knee, Standing, Waist, Street fashion, Eyewear, Tree, Leisure, Sneakers, Public space, Grass, Real estate, Recreation, Athlete","Smile, Furniture, Green, Couch, Comfort, Human, Textile, Interior design, Table, Indoor games and sports, Puzzle, Community, Leisure, Toy, Fun, Sharing, Living room, Recreation, Nail, Engineering, T-shirt, Tabletop game",lidz
"Plant, Shoulder, Shorts, Dress, People in nature, Temple, Sleeve, Tree, Sunlight, Gesture, Grass, Happy, Trunks, Waist, Shade, Cool, Sportswear, board short, Leisure, Wood","Hand, Tableware, Drinkware, Food, Stemware, Fluid, Kitchen appliance, Cup, Food processor, Barware, Blender, Mixer, Drink, Liquid, Material property, Gas, Audio equipment, Home appliance, Bumper, Machine, Vehicle door, Automotive lighting, Small appliance","Plant, Sky, Shorts, Tree, People in nature, Gesture, Happy, Grass, Freestyle walking, Exercise, Leisure, Lawn, Fun, Event","Computer, Personal computer, Laptop, Output device, Standing, Gesture, Input device, Computer keyboard, Touchpad, Netbook, Gadget, Gas, Computer hardware, Fun, Desktop computer, Flat panel display, Display device",kaydnhume
"Joint, Plant, Property, Leg, Green, Active pants, People in nature, Vegetation, Thigh, Grass, Waist, Houseplant, Flowerpot, Knee, Wall, Line, Terrestrial plant, Tree, Shrub, Grass family","Food, Ingredient, Muesli, Recipe, Tableware, Cuisine, Saba banana, Dish, Mixture, Animal feed, Produce, Staple food, Banana family, Gluten","Joint, Shoe, Shorts, Active pants, Standing, Flooring, Floor, Sneakers, Entertainment, Chair, Knee, Performing arts, Leisure, Thigh, Fun, Event","Sky, Hand, Outerwear, Shirt, Botany, Nature, Flash photography, Temple, Branch, Tree, Sunlight, Gesture, Happy, People in nature, Travel, Grass, Woody plant, Leisure, Eyewear",noviejjoe
,"Tableware, Food, Table, Drinkware, Solution, Bottle, Liquid, Ingredient, Wood, Dishware, Cup, Fluid, Fruit, Drink, Milk, Recipe, Natural foods, Plastic bottle, Food storage containers","Plant, Wood, Window, Building, Leisure, Performing arts, Hardwood, House, Event, Ceiling, Beam, Fun, Recreation","Clothing, Hair, Lip, Hand, Smile, Burgundy wine, Facial expression, Vision care, Tableware, Drinkware, Eyelash, Stemware, Mouth, Wine, Grape juice, Wine glass, Eyewear, Happy, Gesture, Alcoholic beverage",geddes94
,"Food, Frying pan, Ingredient, Recipe, Cookware and bakeware, Kitchen utensil, Automotive lighting, Cooking, Cuisine, Staple food, Dish, Stew, Automotive tire, Soup, Kitchen appliance, Gas, Bumper, Rim, Automotive exterior, Vehicle door, Auto part, Hood, Personal protective equipment","Clothing, Shorts, Shoulder, Leg, Muscle, Dog, Plant, Human body, Weights, Active pants, Strength athletics, Strength training, Waste container, Sky, Grass, Thigh, Knee, Carnivore","Table, Candle, Laptop, Fun, Tableware, T-shirt, Event, Entertainment, Music, Computer, Darkness, Sharing, Musician, Conversation, Window, Desk, Room",belinda.garrick
"Food, Kitchen, Outdoor grill rack & topper, Cooking, Cuisine, Gas stove, Cookware and bakeware, Gas, Kitchen appliance, Dish, Home appliance, Kitchen stove, Audio equipment, Electronic device, Major appliance",,"Plant, Jeans, Plant community, Tire, Shorts, People in nature, Wheel, Grass, Terrestrial plant, Woody plant, Leisure, Outdoor furniture, Landscape, Tints and shades","Water, White, Sky, Shorts, Beach, Floor, Line, Beige, Road surface, Ball, Asphalt, Leisure, Public space, Wood, Flooring, Grass, Recreation, Fun, Rectangle, Carpet, Soil, Tar",tim.hoptman
"Shirt, Shorts, Knee, Surfboard, Grass, T-shirt, People in nature, Active pants, Leisure, Surfing, Grassland, Recreation, Chest, Elbow, Lawn, Balance","Food, Hand, Tableware, Ingredient, Table, Wood, Yellow, Finger, Recipe, Food craving, Cuisine, Dish, Wood stain","Cloud, Sky, Plant, Playing sports, Tree, Nature, Sports equipment, Natural environment, People in nature, Football, Ball, Outdoor recreation, Natural landscape, Grass, Player",,thagen1525
"Arm, Sleeve, Gesture, Helmet, Headgear, Baseball cap, Elbow, Leisure, Cap, Landscape, T-shirt, Street fashion, Happy, Hat, Event, Recreation, Fun, Toddler","Hand, Food, Sleeve, Yellow, Gesture, Finger, Dress shirt, Collar, Nail, Cooking, Thumb, Tableware, Workwear, Gas, Cuisine, T-shirt, Wrist, Safety glove, Glove, Dish","Joint, Shoulder, Leg, Standing, Shorts, Gesture, Happy, Flooring, Leisure, T-shirt, Thigh, Knee, Fun, Event, Human leg, Fashion design","Face, Nose, Cheek, Skin, Head, Smile, Chin, Hairstyle, Shirt, Eye, Facial expression, Mouth, Iris, Gesture, Happy, Yellow, Eyelash, Sharing, Adaptation, T-shirt, Toddler, Baby",joelerosales
"Leg, Plant, Active pants, Wood, Tree, Asphalt, Road surface, Knee, Public space, Flooring, Street fashion, Grass, Leisure, Thigh, Waist, Rolling, Recreation","Food, Tableware, Gas stove, Ingredient, Plant, Plate, Cooktop, Recipe, Staple food, Cucumber, Dishware, Kitchen utensil, Finger, Kitchen stove, Gadget, Wood, Stove, Gas, Cooking, Cutting board, Kitchen appliance, Fast food, Cuisine","Plant, yoga pant, Tree, Active pants, Sportswear, Knee, Grass, Thigh, Street fashion, Leisure, Waist, Recreation, City, Event, T-shirt, Entertainment, Fun","Forehead, Nose, Face, Cheek, Chin, Photograph, Eyebrow, Eye, Beard, Mouth, Organ, Human, Eyelash, Jaw, Temple, Finger",gaspar34
"Arm, Shorts, Microphone, Hat, Drum, Weight training, Performing arts, Gym, Weights, Automotive tire, T-shirt, Exercise equipment, Entertainment, Audio equipment, Thigh, Music, Engineering, Event, Metal, Musician, Street fashion, Human leg, Physical fitness, Beam","Food, Ingredient, Tableware, Muesli, Recipe, Staple food, Dishware, Rolled oats, Plate, Breakfast cereal, Dish, Drink, Cuisine, Kitchen utensil, Clotted cream","Arm, Muscle, Wheel, Shorts, Mechanical fan, Entertainment, Music, Musician, Flash photography, T-shirt, Engineering, Automotive tire, Metal, Audio equipment, Event, Room, Machine, Cooking, Fence, Art, Ceiling, Luxury vehicle, Service",,nicoleannrasmussen
"Brown, Footwear, Shorts, Shoe, Plant, Active shorts, Knee, Wood, Grass, Thigh, Leisure, Groundcover, Running, Sneakers, Player, Sportswear, Tints and shades, Sports, Peach, Flooring, Hardwood","Food, Smile, Tableware, Table, Sleeve, Recipe, Ingredient, Cuisine, Food craving, Plate, Dishware, Leaf vegetable, Iceburg lettuce, Salad, Dish, Wood, Cooking, Vegetable","Plant, Property, People in nature, Botany, Gesture, Vegetation, Leisure, Grass, Public space, Woody plant, Shrub, Recreation, Landscape, Groundcover, Lawn","Face, Joint, Shoulder, Furniture, Leg, Window, Comfort, Couch, Human, Human body, Plant, Neck, Sleeve, Textile, Standing, Hat, Interior design, Thigh, Knee, Leisure",franciscoclara8
"Barbell, Weightlifter, Chin, Weightlifting, Cloud, Shorts, Plant, Sky, Weights, Plant community, Vertebrate, Leg, Goggles, Mammal, Sunglasses, Hat, Leisure, Grass, Woody plant, People in nature, Tree, Wood","Food, Yellow pepper, Tableware, Kitchen utensil, Ingredient, Bell pepper, Recipe, Plant, Cuisine, Plate, Staple food, Cutlery, Dishware, Red, Natural foods, Tool, Knife, Dish, Produce, Junk food","Footwear, Shorts, Shoe, Plant, yoga pant, Active pants, Sky, Tree, Knee, Sportswear, Grass, Thigh, sweatpant","Dog, Smile, Vertebrate, Organ, Dog breed, Ear, Carnivore, Collar, Mammal, Plant, Fawn, Companion dog, Cap, Working animal, Snout",weesy1991
"Clothing, Joint, Arm, Shoulder, Muscle, Smile, Leg, Active pants, Plant, Neck, yoga pant, Waist, Standing, Bodybuilding, Weights, Weight training, Exercise equipment, Thigh, Sports equipment","Forehead, Nose, Glasses, Brown, Cheek, Lip, Vision care, Liquid, Plant, Eyelash, Mouth, Product, Ear, Eye glass accessory, Fluid, Yellow, Personal care, Material property, Chemical compound, Drink, Tints and shades, Solvent, Font, Paint, Packaging and labeling, Logo, Magenta, Junk food, Ingredient, Snack","Joint, Shoulder, Standing, Interior design, Building, Service, Technology, Health care, Comfort, Event, Chair, Job, Physical fitness, Flooring, Machine, Leisure","Joint, Tire, Trousers, Bicycle, Wheel, Hairstyle, Bicycle handlebar, Facial expression, Bicycle tire, Automotive tire, Leg, Vehicle, Bicycles--Equipment and supplies, Bicycle accessory, Active pants, Purple, Hat, Baby & toddler clothing, Sleeve, Pink, Flooring, Floor, Violet, Happy, Toddler, Entertainment, Ballet tutu, Fun",vanessa_panella
"Shoe, Sky, Shorts, Leg, Fence, Hat, Wood, Mesh, Wall, Grass, Road surface, Wire fencing, Landscape, Tree, Flooring, Leisure, Flagstone, Knee, T-shirt","Countertop, Cabinetry, Food, Tableware, Kitchen appliance, Kitchen, Table, Home appliance, Kitchen sink, Kitchen stove, Cooktop, Cooking","Shorts, Sky, Shirt, People on beach, Water, Natural environment, Cloud, Trunks, Beach, Hat, People in nature, Gesture, Happy, Travel","Dog, Green, Leaf, Plant, Laptop, Computer, Personal computer, Outdoor furniture, Liver, Grass, Table, Tree, Dog breed, Leisure",nxturner
"Shorts, Plant, Sky, Tree, Asphalt, Road surface, Outdoor recreation, Grass, Exercise, Leisure, Athlete, Running","Food, Countertop, Window, Cabinetry, Tableware, Kitchen, Kitchen sink, Kitchen appliance, Interior design, Plant, Home appliance, Mixing bowl, Tap","Joint, Arm, Shoulder, Active tank, Leg, yoga pant, Active pants, Picture frame, Knee, Thigh, Wood, Flooring, Floor, Strength training, Sportswear","Cloud, Sky, Plant, Water, Green, Shorts, People in nature, Tree, Gesture, Outdoor recreation, Happy, Grass, Trampolining--Equipment and supplies, Leisure",kjn1
